"","review_text"
"109","This is the solid starter's guide for anyone completely new to SQL or someone needing a refresher. I work with SQL off and on and although I have read many books and taken courses, I find myself needing refreshers quite often. I'm always looking for the easiest way to demonstrate and work with coworkers that have little or no SQL experience whatsoever, the teach a person to fish method. I find many books too complicated or long, while this quick start guide is ""simplified"" to the point that any one of any experience can follow and learn the basics easily and quickly.

When I teach someone how to do something, I use three steps and this book does the same - ""this is what I want to do, this is why I want to do ti and this is how you do it"". Simply put, this is the best way to learn a logical programming language. The book covers the terminology and the basic actions needed to perform queries that are useful, rather than just loading everything. It's as simple as that. """"Easy"" or ""quick"" guides should be just that, especially when used by someone like me as a reference. This guide is that, so even experienced SQL users will get value.

I received this product at a discount for a fair and unbiased opinion"
"110","Disclaimer: I received this product at no cost from the seller for the purpose of providing a thorough and honest review.

Other than having taken some introductory computer science courses and working with MATLAB in college (which is not really programming), I am not a pro at programming by any means. However I have the basic knowledge of Object Oriented Languages like Java and C++ so I'm not a complete beginner either. From this intermediate level of knowledge, I was able to understand the content of this little book perfectly. I can't speak to the accuracy of any of this so I'm putting my faith in the authors.

As someone going into this knowing nothing about SQL, the writing is not tedious or academic enough to be daunting. In fact, I can tell the author really tried to dumb things down (in this case not a bad thing at all) and broken things out into quick, short sentences, sort of like ""A is B. B works well with C and D. This is because E."" If you take short notes along the line and review at the end of your session (2 hours at most if you go about it slow), you will understand it easily enough.

Now it really is a quick read and not meant to be a thorough tome of knowledge for SQL by any means whatsoever. You will not be able to go out and claim you can use SQL like a pro and get a job right after...however, if you're a project manager like me and needs a crash course to be able to talk intelligently with your programmers, then this will be a great book to start. Hopefully you have a chance to truly go into the trenches so to speak and really practice the stuff you read about here in the book.

My only criticism would be to include more pictures and diagrams, but I have a visual learner's bias, I suppose. The format is almost 90%+ black and white text. It isn't a fancy textbook with all sorts of side notes. It really is just a crash course written quickly (but eloquently) by an expert, that's my impression, at least."
"111","I liked this beginner's guide to SQL. I've been looking for an affordable introduction to SQL for my friends, and so that's why I read it. This is a great choice, and I'm going to recommend it to my friends for a quick into to SQL. It's really understandable, and gives the basics of SQL that apply to most SQL instances. The examples use the Northwind database, which is available on Access and SQL Server, and you can easily find scripts to make it on Oracle or other databases.

I would have rather had a book that focused 100% on select statements, rather than half of it being about database creation and updating. A newbie isn't going to be making a database. They're going to spend all of their time querying the database first.

I would definitely get this book, but I'd get a couple other SQL books at the same time, because you'll still be a little confused after reading it, if you don't already know SQL.

Pros:
+Simply covers the basics of SQL
+Short book
+Examples with the Northwind database
+Pretty easy to understand

Cons:
-You have to install the Microsoft Northwind database to use the examples
-Covers too much about database creation"
"112","I wanted this book to learn a new programming language for the fun of it and to help my husband with his new job. I found this book to be easy to follow with plenty of information to learn the coding language. The book is a manageable length and not bogged down in a lot of technical computer jargon. It is written in plain text with topics clearly labeled in bold. There is a small glossary at the end in case you forget what one of the necessary technical words means. The sequence of the information was logical. The examples were easy to follow and understand. Using the examples they provided in the book, I was able to start coding immediately using Microsoft SQL Server Express (it's free) and Microsoft Access. I did not mind the amount of time spent on database set up as I have no experience with SQL. As I get into the more advanced database entry coding, I will be turing to this book as a great reference to not only learn from, but also use to review. I highly recommend this book for anyone who needs a quick start guide to the SQL programming language.

Full Disclosure: I received this product for free in exchange for my honest and unbiased review"
"113","I received this book via PC Kindle. This is a short book-easy read- on the basics of SQL. I have done a lot with several different programming languages. Before diving into one language deep, I wanted basics in several to see which one to pick to really get involved.

This book is very well written to show how to retrieve data and create databases. It is like it is advertised "" quick start guide"". I found this topic very interesting and this book makes it easy to understand.

Disclaimer - If you have learned anything helpful about this product from my review, you can let me know by clicking the “yes” button below. Please note I’m not compensated in any way for your vote; however, your positive vote definitely helps me learn what shoppers find as helpful. When I make purchases to review, I buy what I am already in the market for or have interest in. I rely on other people's honest reviews that are posted on Amazon for purchases I make. I know that honest and helpful reviews provide insight to the company and to the purchasers as well. I respect other's opinions of different products and their use. I also read what reviewers on Amazon have to say and value their opinions. I want to help others by providing my reviews that detail the products as well as how the products that I purchase on Amazon have or have not benefited me personally.

I did receive this product at a discounted price in exchange for an unbiased and honest review. I take my reviews serious and will only provide accurate and honest feedback. I am not connected to this company or any of the companies of products that I review."
"114","I got the kindle version of the book which is not very long, not sure if the physical book is longer. Anyway, this book I will say is ideal for beginners. Its starts by explaining what is a database and how they are structured. This concept is fundamental if one is to fully underatand databases and how to build and or query/retrieve meaningful information. The sample database used throughout the book is Northwind Traders which comes with Microsoft Office, so most people would have access to this database to follow and practice the examples.

It explains what is SQL, what is a query and how to use queries to retrieve information from the raw data in the database. The different SQL statements used to query and retrieve information from the databse were simple and very easy to understand and follow. The syntax was explained well and many examples were given like querying 1 table or several tables using joins, using functions to retrieve aggregiate data and modifying data by inserting, updating or deleting.

It's not a long winded book that gets you bored half way through, the explanations for each method of manipulating a database to get or update information are simple and easy to understand. This book is a good foundation to the subject. I would recommend this book to beginners or anyone who wants a simple refresher on the basic mechanics on querying a database.

I received the Kindle version of the book free for my honest and unbiased review."
"115","Full Disclaimer, I was lucky enough to be selected to review and rate this title for a discounted price. With that being said, I am still happy to provide my honest review for this text.

The great thing about the SQL: Quickstart Guide is that it helps you get straight to the learning and application portion of an SQL database. With a short overview and introduction chapter, I was able to quickly download the sample database that was provided (The link was broken but a quick Google Search yielded my result) and quickly dove into chapter 1 without any problems. A major strength is that example statements are provided throughout the entire book, so you can start exploring SQL by practicing with the various statements while having the ability to copy/paste them if need be. Result pictures are also provided with a majority of the statement example listed throughout the book. This allowed me to see if I was gathering the correct data or making a mistake along the way. Another strength is that it starts out easy and becomes more advanced as you start to learn and explore the different features that are found within the database. The book starts us out with the very simple *select* command and gradually evolves to selecting multiple items and even creating your own tables just from statements. The text also does a great job on explaining why you are using the different keywords in each statement. Rather than just listing a bunch of examples and pictures, the text actually describes why keywords are being used and how the data retrieved is being reflected.

Just as the title suggests, this book is more of a quickstart guide that is focused toward beginners. Many of the statement examples will provide the ground work for future SQL products to come. By no means does it harm the value of the book, but if you are looking for more advanced SQL features and development, other books should be purchased. If you are a beginner to SQL or just want a refresher on the various statements that exist, this may be the perfect book to refresh your memory."
"116","Full Disclosure: I received this product for free in exchange for my honest and unbiased review.

This guide is an excellent choice for beginners who may have a general understanding of SQL but want to start writing and running their own queries. It's also a good choice for developers who don't use SQL daily and want to brush up on not only the language but also the concepts behind how relational database management systems work. I took an Introduction to Databases class in college several years ago and while what I learned in class went beyond the scope of this book, I still found it useful to have on hand to brush up on my skills again before starting an advanced database class online. I imagine I will continue to reference it in the future so I can refresh my memory on database concepts and also to compare traditional database designs with newer ideas such as ""NoSQL"" databases.

If you have little to no experience with coding or databases you may want to seek out a more in-depth book that builds up the concepts more gradually. Also if you have a good grasp of beginning SQL concepts and are seeking a book for more advanced coding examples you may find this too basic."
"117","I've only ever dabbled in database software and programming, never really getting my feet wet. I saw this book as an opportunity to try out something new and see what I could accomplish. This book does a really good job of starting you out by defining terms, concepts, and ideas, which I really appreciated. By the end of the book, you've created a basic database and have the tools needed to turn it into useful output.

Keep in mind that this book does not at all say it's going to turn you into a master, but rather it gets you started down the path to learn how to use SQL to create and access databases. Overall, it's a great way to get started and, in my personal opinion, get you excited to learn a new set of tools in programming.

In the end, this is great for people like me who have some programming knowledge - both web programming and software development - who want to give something new a chance. It's very well written and incredibly simple to understand. I had a blast getting through it and look forward to trying out SQL to create some applications for my current job to help streamline and organize our employee data. It explains how to store data in a database then access it using the metadata about that data. It shows you how to create tables from your databases, then how to parse the data in those tables to become usable, visual representations in your applications.

Full Disclosure: I received this product for free in exchange for my honest and unbiased review"
"118","This guide combines great workbook exercises with real world applications for what you're learning. So not only do you make sure you're retaining what you've learned through the exercises. You're learning how to apply your new knowledge in the real world."
"119","First off I’m reviewing the Kindle edition not that it really makes much of a difference. Except you can see where other people have highlighted passages that they thought were important, which is always nice to see.
So anyways, on to the review of the actual book. Now I’ve taken a course on SQL before but it was almost two years ago and really only a two week long “boot camp” style course through work. We were taught enough to be dangerous but really just focused on the couple of tasks we were going to be responsible for. Needless to say I have forgotten more then I remember about what they taught us there. So when I got this book I did not open it as a complete SQL noob. This book was really easy to understand, they put everything in easy to relate to format. After having read the book I am much more comfortable with SQL again and I feel like this will definitely help me at work. Might even be able to speed a few processes up!!
I received this product either at a discount or for free so I could try it and write an honest review. I have done so, and all opinions are based on my actual experience and not influenced by the price."
"120","Full Disclosure: I received this product for free in exchange for my honest and unbiased review.

I was looking for a book that introduced me to SWL beyond my pretty crappy basic knowledge. I wasn't looking into indepth information about SQL and found exactly what I was looking for in this book.

It starts off with creation and administration of SQL databases which a lot of started guides ommit. I thought it was great it was included here since while I know how to do that, some of my friends who want to learn with me don't and were left confused with some other books we tried. The book is easy to read and understand. The only ""problem"" I found is that the examples and short tuts in this book are based on one sepcial database called Northwind which you have to install. The installation into Access was pretty easy though. The information is transferable to other (e.g. your own) databases. I found everything I wanted and needed to know in this book so for me it's a definite rec."
"121","I purchased the Kindle version of this book because I have been using SQL for the past few years but mainly have succeeded by manipulating what has already been created. This company does a good job at writing short intro books which address people who have a baseline understanding of the subject but need to get to the next level. I felt this book was a great help in providing me with the technical terms for specific actions and how to accomplish basic tasks. You will see from many other reviews that they do focus a lot on database creation and manipulation so be prepared to read another book after this if you want to really dive in deeper. That is the only reason I am giving a 4 star since it isn't a well rounded how-to book.

Disclosure: I received this product at a discount or free in exchange for my unbiased opinion of the product. I did not get paid to write a review and used the product before I wrote the review. If you feel my review was helpful, make sure to say yes. Thanks for reading!"
"122","Although the book gives no details about setting up a database to practice with, it was simple and easy to understand, making it an effective introduction for me. I tried going through Head First SQL and found it too verbose, and YouTube tutorials always left too many unanswered questions. This book was an effective supplement to other resources and enabled me to pass SQL coding challenges in interviews."
"123","<U+2716>LIKED: Simplicity, detailed, great pictures, well-defined sections, detailed table of contents, allows for jumping to specific sections, great information for beginners as they go through the basics first before explaining the core topics.
<U+2716>DISLIKED: There wasn't that I disliked about the book.

I received this product for free. Great book. I am a current student at unlv and am in the computer science program. I am always hearing about the sql language and how it can be used to store data and be the back end for certain projects. I read through this book and felt like I had a good grasp on SQL. I would definitely recommend it for beginners. I felt the book was pretty detailed and gave really good illustrations for the concepts being discussed. I think this really needed as you want to visualize how the data is being stored. If this book didn't have illustrations like that it, I really wouldn't recommend it for beginners. The table of contents is pretty detailed as well and allows you to skip straight to the section you need. So the book can also be used a reference. The book as a section before chapter 1 where they go over some basic topics and allows the reader to have some backstory to the language. I like the simplicity of the ebook as well. They didn't just put filler stuff in to make it longer, and stick with the basics that needed to be explained which is what I love."
"124","Before getting this book, I didn't have much understanding about SQL and with what you eat it. My friend told me is useful to have some knowledge about it, and I always like to learn new things.
I really liked this book. It's not too long, so don't need spend weeks reading it. You will have all the basic information you need. It's well written and easy to understand. It introduces you to basic things you need to know. I think it's quite good as quick start guide.. It does what it says: you will read it quick, will be able to start fast and if need more insight, will do more studying later on. I would definitely recommend it for beginners like me.
Plus seller gives you free e-book about reading 5 times faster (i think it's quite useful), if you sign up for emails..
Just being honest, price could be lower, like 6.99 (because it's quite small book, only 64 pages).

Full Disclosure: I received this product for free in exchange for my honest and unbiased review. Getting this book for free didn't affected my opinion about it."
"125","I had studied SQL in college but after a few years without practicing, Recently I have been searching for a new job in IT and many places require SQL knowledge so I wanted a refresher. This book was much better than the textbooks and study materials that I have because it goes straight to the point and covers most of the basic topics in the SQL language. The examples provided are clear and helpful. One important thing to know about this is that it will not teach you about the multiple SQL implementations like Oracle, Microsoft, MySQL, etc. so you might want to expand on those depending on your needs. In general I think this is a must-have for any IT professional that wants to have a quick reference and any new learner that wants to catch the basics before going deeper into the SQL and database world.

I received a free copy of this book in exchange for my honest review. My rating would have been the same even if I had paid full price for it."
"126","There is no way I can get a feeling for how the book is organized and what I might expect from it in terms of learning SQL because the ""look inside"" contains nothing but ""how great I am"" and ""why I decided to write this book"" pages. Not very helpful as to how the book might actually be useful."
"127","Full Disclosure: I received this product from the seller for free or at a discounted price for the purpose of a fair and honest review for future sellers. Please note my reviews are honest and unbiased, no attempt was made to influence my opinion and the information I have provided is completely and 100% based on my experience with this item. If you would like to review past product reviews for reference, please feel free to visit my profile. Please also be sure to like this review if it has been helpful in your purchasing decisions.

Extremely informative! I am an IT professional and I haven't done a lot of Systems administration but I use SQL every day. this really solidified the basics for me and gave me a better understanding of how the server works. Good for anybody whether you are well versed or a beginner this guide breaks it down simply."
"128","I have been a database administrator for over 20 years using all kinds of databases. While this book has a lot of good information in it, I thought it could be organized better. The overview and introduction were great. It explained SQL and RDBMS in very simple terms that so that people with an interest should be able to grasp this concept.

After that the chapters were stuffed full of information, too much information in some cases. I have taught SQL to many people over my career and I always start with the simple structure of select, from, where. This book introduced top rows, top percent, and distinct before even touching the where statement along with the comparison and logical operators. Chapter one also covers operator precedence and joining of tables using joins, inner joins, and outer joins making chapter one more than half of the entire book.

Chapter two was perfect showing built in functions such as count, avg, sum, etc and how to use them with the group by and having clauses. Chapter three covered the DML functions of insert, update, and delete and explained this all very well. Chapter 4 touched on the DDL functions create, drop, and alter tables along with defining the different datatypes for the fields that comprise the tables.

I was given the opportunity to purchase this item at a discounted price in exchange for my honest and unbiased review. I have no relationship or affiliation with the seller. All of my reviews reflect my honest opinion."
"129","It may very well be a great book, but after trying several different ways, I gave up trying to get it to download in a readable format. Whatever happened to .pdf, or a Kindle-ready download? Make it difficult or exclusive to a peculiar format and it will generate a lot less access."
"130","I work with databases on a daily basis, so I wasn't sure how much I would enjoy this book. However, I was very impressed with the way the book continued to build off of previous chapters/exercises. This book does a great job of explaining what databases are and how they are used. It then goes step by step with interactive examples (downloaded with Access support). It covers the basics of select commands, joins, aliases, etc. I know I'll be keeping this book handy in case any quick reference is needed for a stuck SQL query.

I highly recommend this book for anyone looking to get started into SQL or even advanced users looking to have a handy reference guide.

“Full Disclosure: I received this product for free in exchange for my honest and unbiased review”"
"131","""SQL QuickStart Guide"" is actually a great way to learn structured query language. This can be difficult and I would suggest the accompanying material that will be in your library as a PDF along with this audiobook and with this combination one should be able to get a good idea on how this works. It's specific programming language and honestly if someone's a quick learner they could possibly bypass a lengthy tutorial or college course.

Dave Wright's narration was impeccable. It was clear and easy to understand. He walks you through each step and there are enough different examples to where one can pick this up fairly easily. Nice job.

""This audiobook was provided by the author, narrator, or publisher at no cost in exchange for an unbiased review courtesy of Audiobook Blast."""
"132","I found this book after slogging through another author's confusing discussion of SQL. This was very helpful, with ""doable"" exercises presented in a thoughtful, well planned sequence. I was glad to get this straightforward introduction, and it was enough to convince me that I will learn to be efficient in database manipulation."
"133","This is a great book for anyone looking to learn the basics of SQL! I have worked with MS SQL in the past and would have loved to have had this book when I was getting started. This book provides great examples on how to get started retrieving, entering, and modifying data as well as performing calculations. From my experience, these functions are what ""most"" people who use SQL deal with on a daily basis. I has been over a year since I have worked directly with SQL and this read was a great refresher course for me.

~This is a required disclaimer. This product was received at either a discount, or for free, in exchange for a review. I have given an honest, fair, and unbiased opinion. All statements expressed in my reviews should be considered my own, and my own personal experience with the product. My review was not impacted by the cost I personally paid, but reviewed and written from the mindset of having paid full price. I am an avid product tester and reviewer. If you found my review helpful, please click the Yes button below. Thank you for taking the time to read my review and disclaimer.~"
"134","It is a pretty good reference, gets a bit deep into some of the SQL concepts, but it is a quickstart guide, so I guess that is to be expected. It has some pretty decent explanations on the theory behind the functions of SQL, but in some cases you do just have to trust that some of this works, and that it will function correctly if you call it on your end.

All in all, it is a good introduction, and an excellent reference guide to keep on hand in the event that you happen to forget the syntax on some of the lesser used commands (everything in this book is in the MSSQL syntax). As an SQL admin, I think that this is a good place to start.

I received this product for free or at a discount in exchange for my honest review."
"135","Well organized, very easy to follow. Not challenging to pick up and put down and keep your place. I had to go over a couple of the chapters several times to get some of the exercises just right, but overall the material presented in the book isn't too challenging. When you get it right it is really rewarding."
"136","I got this Kindle book so that I can brush up on my SQL skills. I haven't worked with SQL in a couple of years and I don't want to completely lose a very marketable skill. This book takes your through SQL beginning with the basics, I honestly think it does a better job of covering the material than some of my very expensive college books on the subject. The book is very easy to follow and is very informative. I would highly recommend this book to anyone who is trying to learn or brush up on their SQL skills. Full Disclosure: I received this product for free in exchange for my honest and unbiased review"
"137","The author takes you from ground zero (about where I was) to some really ingenious programming heights. I am already using the techniques learned to help me shave hours off the tasks incumbent on my job duties [read: lawyer]. You can think of a Table of Authorities as just another data base with clearly identifiable ""fields"". So I wrote a few queries that enabled me to generate a list of case citations for every issue confronting me in a current pending Motion for Summary Judgment. Hurrah for SQLite!"
"138","I'm a software engineer and I read this book over 3 days on my Kindle. It's roughly 60 pages. It provides a great introduction to SQL. Was glad to see that it touched upon the concepts of most used queries we perform almost daily at work. I like the way the author explained these concepts. I would however like to see a more advanced edition, which would cover queries in deeper concepts of set theory such as using EXCEPT, INTERSECT clauses and using correlated subqueries. Overall, it was a great read and I will continue to follow this publisher.

Full Disclosure: I received this product for free in exchange for my honest and unbiased review"
"139","This is an easy-to-read intro to SQL that is perfect for the novice or anyone with no technical background. This simplified, quickstart guide is on par with other SQL tutorials that I have found online. Don't expect to become an IT guru overnight, but you will gain a conceptual understanding of what SQL is, and how it works, as well the most common and important commands needed to navigate and communicate within the SQL environment. I definitely recommend this, as it is easy to read and inexpensive. Another great thing about it is that you don't even need a kindle! You can easily download the kindle reading app to your mobile device, as I did.

Full Disclosure: I received this product for free in exchange for my honest and unbiased review"
"140","The book itself is a great little intro, well organized with great, clear examples.

But I really hated the fact that I had to hunt on the net for an (old) version of the database which matches the queries from the book--wasted about 2 hours... The fact that the book nonchalantly sends you to a link which installs the SQL Server 2000 version also doesn't help... I tried downloading the on-line book resources, which of course asked for my email (how else) but except for some aggressive marketing, I didn't get very far.

Obviously, the book's content is dated, and it needs to be brought to shape.

The writers, whioever they are (not mentioned) did a really great job--nice clear writing--so it's really a pity that ClydeBank lets the book age like this...

Should have really been 1 star for the experience..."
"141","I find this book to be easy for me to get a basic understanding of SQL. I'm looking forward to getting a better understanding of SQL. I think it will help me in my career."
"142","I received this product for free for my honest and unbiased review.

I've worked with SQL off and on over the last 10 years or so. As a Backup Administrator I wanted to get a better understanding of SQL and SQL commands because most of my reports are now created using SQL. So far this book has been a big help in clarifying the different commands, especially the joins, and helping to understand what output I will get back when using them. If you need something to get you started quickly with SQL I can definitely recommend this book."
"143","On a scale from 1 to 10 in regard to my SQL knowledge, prior to purchasing this book I was a 1. After reading through this book and going through the exercises (which only took a week of dedication) I would say I am a 5. There is still so much more to learn, but this book is one heck of a start!
The book is very easy to read and the downloadable dataset and the exercises that go along with it are easy to follow as well."
"144","This book has all the information a beginner would need to understand a SQL database. It is written in an easy to understand way with little jargon. Specific terms are defined in a short glossary at the end. The examples and illustrations provide for an even better understanding of what the text is trying to explain. My employer recently migrated our database to SQL and this will be invaluable to me as a quick reference.

I received this product for free in exchange for my unbiased and truthful review."
"145","I have this as an audio book and this was a nice listen. The pdf that accompanied the audio book was very detailed and contained good references for SQL commands. This is definitely a starters guide and has very good information. This book defines SQL and its meaning, along with definitions of databases, query, and tables. This book guides you through creating and retriving information from a database. This book tuches on the difference of Microsoft RDBMS and other third party management systems. This is a good audio book and I would reccomend it to a friend."
"146","I came from no SQL experience at all. The book is well written and SQLlite was a great choice for a starter environment. I didn't know where to start my learning path. This book is where to start your learning path, hands down."
"147","DISCLAIMER
I received this product as FREE for my honest and truthful review and opinions, which are being provided below without bias.
USAGE
I have been using SQL queries occasionally and have bought several high end books to study SQL deeply. But was looking for a simple book to teach my son with the basic elements of developing queries and understanding databases and how to understand it with samples.
This has turned out to be just the right beginners guide.
OVERALL
I like it."
"148","Great introduction to SQLite. I needed to learn SQLite for a school assignment. The digital edition fit the bill."
"149","This is great for beginners who don't have any prior experience with databases or SQL. Walter does a great job at explaining how to start using SQL really quickly. Highly recommend! "
"150","Great book. It showed me just what I needed to know to get used to using SQL. It's a great primer and I'm now ready to move onto some really serious data analysis."
"151","wow what a great guide
over 1000pages!
i just started it, but i can tell its covers the topic in depth
easy to use in my kindle - was able to open on my kindle for Mac no problem

would recommend

**This product was received either at no or low cost for review, inspection and testing purposes. No compensation for a positive review was provided. All of my reviews are based 100% off of my experience with the product and I never guarantee a positive review."
"152","This book is the best resource for learning SQL. I recommend anyone who is even slightly interested in SQL to get this book. I literally went from novice to proficient within in weeks. I found myself exploring more about the database that you can access through the complimentary SQL course. I found myself excited about learning SQL because of this system. I highly recommend!!!!"
"153","I deal with data tables a lot at work and this is a great book for me. Its a great trade to have and put on your resume if you aren't in the IT field. Its also great to have it in the iPhone Kindle app so I can pick up where I left off at any time or use it as reference when I am at work. I would recommend reading this to anyone who is interesting in learning SQL and data tables."
"154","I came to this with very little experience coding or otherwise and I had no trouble keeping up with the main thrust of the book. Learning SQL helps me feel like other programming languages and more complex applications aren't that far out of reach. With hands on technical books like this you need lots of pictures, diagrams etc. and this book has no shortage in that department. Graphics are clear, easy to read, and everywhere."
"155","This book takes you step by step, I just wish I read that before my lectures, would have helped a lot! It explains what a database means, how to download a program to use SQLite, and even provides a dummy database for you to use...the book is concise, gets to the point at a nice pace, I highly recommend it for beginners and as a reference for advanced users."
"156","Very easy to follow anyone without a computer coding background can follow this book. The author has done a great job and I am able to follow and code from the very first day. Great buy."
"157","SQL quickstart help to expert as well. Books is good to refresh memory. Few basic step/logic I did long time a go. Read those again with new example really helpful. Book also help with simple example how to tune sql and Simple join mistakes. Reading is always better.

I received this item at a discount in exchange for my honest and unbiased review"
"158","I use databases for work and this book is just what I was looking for to learn how to sort and organize multiple spreadsheets. It is very well organized and a pretty quick read. I will keep it as a reference guide to refer back to. Highly recommend to anyone looking to get into sql.
Although I received this for a discount for an honest review is well worth the price for the electronic version. A++"
"159","Great for people new to SQL. Simply stated and good examples that introduce SQL basics.

Book includes a sample database to run SQL statements so readers can experience the utility of SQL."
"160","I had a little background already in Sql but was looking for a refresher course. It is really only an overview and should have a prerequisite book to explain databases. I think this is good for someone who needs a little more than just a rough concept.

Disclaimer: I got a discount for my honest review."
"161","So far the book holds great promise"
"162","Easy intro to SQL. Provides a good path (software and techniques) to querying databases."
"163","I have just began using this book about a week ago and it is by far the best training manual I have used to date. The instructor explain things in a way that I get it. 5 stars on that alone. I will follow up at the half way mark or once I get through the guide to give my overall opinion."
"164","It was very simple and easy to download this ebook on my Kindle device. The information within is also very interesting and easy to grasp. I now have a new understanding of SQL and how it is utilized by corporations.

I received this for free or at a discount in exchange for an un-biased, honest review."
"165","Very easy to follow with full explanation for someone either refreshing from lack of years of use to a newbie starting."
"166","I am only half way through this book, but I am already writing queries, joining tables, and making cases to return data. It's an awesome step by step guide for anyone hoping to gain the skills necessary to simply return data sets that are relevant to analysis. Love it and would highly recommend it."
"167","I'm familiar with Access database however I'm new to SQL and i found this book to be a really good started to me. I'm an IT Technician and wanted to gain some knowledge on SQL and this was just the perfect book. I recommend this book to anyone new to SQL or wanting to learn about it, this is a great start. I received a free copy of this book for a review and this is my honest opinion of the book.
This is a wonderful book."
"168","I liked everything about it"
"169","Having absolutely no knowledge of SQL, this did a great job explaining. I highly recommend it!!"
"170","I am half way through this informational book. SQL is explained in the ideal manner! Easy to understand, all vocab is explained using non technical terms. As a web developer I would use this book to teach SQL to partners and beginners. The format of this book is easy to read, and you do not have to be an English major to understand to text. Error Team Web Dev will be purchasing atleast 5 copies. This book competes with others in my paperback library.

-Disclaimer

Full Disclosure: ""I received this product for free in exchange for my honest and unbiased review”"
"171","This is a good short SQL book for beginners as other reviewers have mentioned. I found it to be a quick read and clearly presented. It would be a good little book for any SQL user to read. M

Full Disclosure: I received this product for free in exchange for my honest and unbiased review."
"172","This book met my needs. I wanted a simple introduction the SQL. The book includes a realistic sample database and great instructions on writing code to access it. I recommend it for anyone just starting out in SQL."
"173","easy to read, straight to the point"
"174","The book isn't overly long but it also doesn't feel like anything important is missing. Chapters and exercises are presented in a logical sequence, clearly marked, really efficient use of the book's structure to make the book really helpful as a reference guide also."
"175","A nice introduction on what exactly is SQL. It covers all the basic information and if you are new at it you will be able to understand and comprehend the book without any major misunderstanding of what the author is taking about."
"176","I'm about half-way through the book and I'm impressed on the interface with the text and the downloaded files. Great SQL instructions."
"177","This book has illustrations on nearly every page. Really easy to follow. It can be easy to be intimidated when learning stuff like this but I didn't run into that at all in this book. Easy to read, easy to refer to. Great Book!"
"178","Simple to follow, and understand"
"179","I'm a total novice, and I'm seeking to broaden my job skills. The author's approach provides a great jump off point."
"180","Easy to follow"
"181","This product is well worth the value and I’d highly recommended anyone who’s interested in the subject matter to try it out. Very well designed and easy to follow."
"182","Easy to follow and understand. Would recommend this book to anyone."
"183","Its book to reference to and start off with. The content provided is pretty great as well!"
"184","If you want to learn SQL quickly and have fun doing it, get this book."
"185","Great for those with an IT background looking to wet their feet with SQL for the first time."
"186","Good book for beginners who are willing to learn and understand the basics of SQL ... That way they have an idea how to start writing simple SQL queries !!"
"187","FREAKING 5 STAR FABULOUS ! But - I bought 2 ( duh ) - one was hard bound and US$10.00 More - I did a spot check comparison and could NOT find any differences - so I sent it back to Amazon - no sweat - easy to do !"
"188","A great teacher indeed.gives concise and clear guidelines.Doesnt assume the learner knows it already"
"189","This is one of the most useful programming guides I have ever used. Within a few days of opening this book, I was writing simple programs on my own. This very basic approach WORKS! I've learned other programming languages but none with this much ease."
"190","So far I am able to understand and do the exercises.

Easy to understand

Let’s see if I would need to order an advanced level book for SQL or not."
"191","This is one of the best books of all times among those I have read. Other than reading, it gives you an opportunity to download the SQL database and platform to practice what you have learned, and makes what you have learned to stick, never to forget. It is written in very simple language even for a beginner to understand. I am doing the last two topics, in reading and writing SQL queries. It also gives you challenge tasks to complete, relevant to the the topic you will have covered. It has all the solutions at the back for reference where you may have gone wrong, and you could redo the assignment until you master. I have read so many SQL books, but they never give you projects to practice what you have learned. It has solidified my knowledge on SQL. It covers exhaustively what you would expect in a working environment. However, I just missed the stored procedures, but has Views which close to stored procedures. Please get a copy if you need to start off learning SQL or polish your knowledge. I have given it a five stars."
"192","Awesome Book and Well written"
"193","SQL Quickstart Guide is a good book if you are a beginner with MSSQL. It gives a nice and easy to understand overview of MSSQL, coding and queries, examples, and more. I have worked with MSSQL databases for years now but going back to the basics sometimes is a good thing as it reminds you of some things which can be done and how, or at least the basics of how and then you can build on them. I would not have an issue RECOMMENDING THIS BOOK to other users who are trying to get a bit more techie and expand their knowledge of what can be done with MSSQL and the data.

I received a copy of this book and am voluntarily leaving a review. My opinions are my own."
"194","On the positive side, there are good, simple, easy to follow examples of most key ""how to get started"" SQL questions. So this is a good way to get a clear set of examples including example tables of how queries work etc. However, many examples move in one step from dead simple to pretty complex, and the intermediate steps are not clear.
This isn't an easy subject to simplify, and as a basic guide it's OK, but I only gave it 3 stars because of the cheesy sales process related to the so called ""online assets"" the publishers push you to download.
This is really cheeky, as the link simply pushes their training services, and directs you to a Microsoft SQL resources website, to download a readily available microsoft SQL training database. Will never touch their stuff again."
"195","Poorly written, lack of sql content deemed as basic. There is a number of mistakes in the book that will likely confuse and discourage a number of readers who are about to start their db journey. Therefore I cannot recommend this book to anyone, and certainly not at this price."
"196","Simple to follow along and well-written. I work with data every day as part of my job and would say that it's helpful for both beginners and experts looking to brush up on SQL and understanding of relational databases. Well worth the money spent."
"197","Very Very basic, very short. Find something else dont spend your money on this!"
"198","Excellent book for beginners"
"199","good"
"200","A nice straight forward introduction / guide to using the main components of the SQL language, written in a straightforward manner."
"201","This is a great introduction to SQL.

- It explains all of the key concepts. For example, basic select statements, joins, functions, and nested queries.
- It is concise and to the point.
- It is very well written and easy to read/understand.

If you are looking for an introduction to SQL or want to refresh your knowledge (like me) this is a great book."
